nct_id,brief_title,overall_status,phase,start_date,completion_date,enrollment,sponsor_name,lead_or_collaborator,start_year,who_gap_period,condition,status_clean,enrollment_capped,sponsor_category,duration_months
NCT00513396,High-Dose Isoniazid Adjuvant Therapy for Multidrug Resistant Tuberculosis,COMPLETED,Phase 2/3,2004-01-31,2006-12-31,134.0,GSVM Medical College,lead,2004.0,Pre-WHO GAP,"tuberculosis, multidrug-resistant",Completed,134.0,Academic/Research,35.0
NCT00513396,High-Dose Isoniazid Adjuvant Therapy for Multidrug Resistant Tuberculosis,COMPLETED,Phase 2/3,2004-01-31,2006-12-31,134.0,GSVM Medical College,lead,2004.0,Pre-WHO GAP,"tuberculosis, multidrug-resistant",Completed,134.0,Academic/Research,35.0
NCT00513396,High-Dose Isoniazid Adjuvant Therapy for Multidrug Resistant Tuberculosis,COMPLETED,Phase 2/3,2004-01-31,2006-12-31,134.0,GSVM Medical College,lead,2004.0,Pre-WHO GAP,"tuberculosis, multidrug-resistant",Completed,134.0,Academic/Research,35.0
NCT00513396,High-Dose Isoniazid Adjuvant Therapy for Multidrug Resistant Tuberculosis,COMPLETED,Phase 2/3,2004-01-31,2006-12-31,134.0,GSVM Medical College,lead,2004.0,Pre-WHO GAP,"tuberculosis, multidrug-resistant",Completed,134.0,Academic/Research,35.0
NCT01201941,"Operational Assessment of Laboratory Information System for MDR-TB in Lima, Peru",COMPLETED,,2004-11-30,2009-03-31,1849.0,Brigham and Women's Hospital,lead,2004.0,Pre-WHO GAP,"tuberculosis, multidrug-resistant",Completed,1849.0,Academic/Research,52.0
NCT01201941,"Operational Assessment of Laboratory Information System for MDR-TB in Lima, Peru",COMPLETED,,2004-11-30,2009-03-31,1849.0,MIT William Asbjornsen Albert Memorial Fellowship,collaborator,2004.0,Pre-WHO GAP,"tuberculosis, multidrug-resistant",Completed,1849.0,Industry,52.0
NCT01201941,"Operational Assessment of Laboratory Information System for MDR-TB in Lima, Peru",COMPLETED,,2004-11-30,2009-03-31,1849.0,Brigham and Women's Hospital,lead,2004.0,Pre-WHO GAP,"tuberculosis, multidrug-resistant",Completed,1849.0,Academic/Research,52.0
NCT01201941,"Operational Assessment of Laboratory Information System for MDR-TB in Lima, Peru",COMPLETED,,2004-11-30,2009-03-31,1849.0,Brigham and Women's Hospital,lead,2004.0,Pre-WHO GAP,"tuberculosis, multidrug-resistant",Completed,1849.0,Academic/Research,52.0
NCT01201941,"Operational Assessment of Laboratory Information System for MDR-TB in Lima, Peru",COMPLETED,,2004-11-30,2009-03-31,1849.0,National Institute of Allergy and Infectious Diseases (NIAID),collaborator,2004.0,Pre-WHO GAP,"tuberculosis, multidrug-resistant",Completed,1849.0,Academic/Research,52.0
NCT01201941,"Operational Assessment of Laboratory Information System for MDR-TB in Lima, Peru",COMPLETED,,2004-11-30,2009-03-31,1849.0,MIT William Asbjornsen Albert Memorial Fellowship,collaborator,2004.0,Pre-WHO GAP,"tuberculosis, multidrug-resistant",Completed,1849.0,Industry,52.0
